tcid,year,month_mean,day_mean,hour_mean,latitude_mean,longitude_mean,windspeed_mean,sealevelpressure_mean,distance_mean,angle_mean,radius_oci_mean,radius_34mean_mean,radius_34quadrant_mean,category,coreid,linext,density,calc,region,rz,site,spp,linext.log,linext.anom,linext.roll,density.log,density.anom,density.roll,calc.log,calc.anom,calc.roll
130,1999,10,15.2,10.2,24.96,-81.4,32.667222224,987.8,260265.05310299998,237.1105329016,374104,190756,179644,1,yircr12s,0.2771,1.4223,0.395,y,ir,yircr,s,-1.283376827,-0.877155424,-1.078018188,0.35227528,0.571448319,0.371913132,-0.928869514,-0.731988111,-0.702951665
140,2000,9,17,9,26.6,-84.6,34.081944445000005,984.5,461272.52917500003,275.438139925,358825,195038.75,162050,1,yircr12s,0.3996,1.4454,0.5776,y,ir,yircr,s,-0.917291232,0.432530514,-1.134436139,0.3683861,0.745094715,0.357293824,-0.548873691,0.703126067,-0.775069249
145,2000,10,4,12,29,-81.4,15.43333333,1012,462142.9665,241.1178694,166680,NaN,NaN,1,yircr12s,0.3996,1.4454,0.5776,y,ir,yircr,s,-0.917291232,0.432530514,-1.134436139,0.3683861,0.745094715,0.357293824,-0.548873691,0.703126067,-0.775069249
150,2001,8,2,15,25.95,-84.85,19.291666665,1010.5,442181.39194999996,226.1567116,NaN,NaN,NaN,1,yircr12s,0.3004,1.4208,0.4285,y,ir,yircr,s,-1.202640359,-0.588317463,-1.082520276,0.351220093,0.56007526,0.357668593,-0.847464541,-0.424549386,-0.72190624
155,2001,9,13.266666666666667,9.6,26.433333333333334,-83.57333333333334,19.03444444466667,1000.1333333333333,408074.57257333334,241.90445496,328068.5714285714,184342.5925888889,129640,1,yircr12s,0.3004,1.4208,0.4285,y,ir,yircr,s,-1.202640359,-0.588317463,-1.082520276,0.351220093,0.56007526,0.357668593,-0.847464541,-0.424549386,-0.72190624
161,2001,11,4.666666666666667,11,22.9,-79.88333333333334,49.729629630000005,962.5,350793.5541333333,77.89557545333334,354966.6666666667,282044.1666666667,276256.6666666667,0,yircr12s,0.3004,1.4208,0.4285,y,ir,yircr,s,-1.202640359,-0.588317463,-1.082520276,0.351220093,0.56007526,0.357668593,-0.847464541,-0.424549386,-0.72190624
168,2002,9,5,12,28.9,-82.46666666666667,11.146296296666668,1011,487268.0098333333,95.88294291666666,197546.66666666666,NaN,NaN,1,yircr12s,0.3238,1.4239,0.4633,y,ir,yircr,s,-1.127629238,-0.31996216,-1.072900667,0.353399586,0.583566369,0.346625631,-0.769380487,-0.129652635,-0.72248384
172,2002,9,20.2,7.2,21.44,-83.42,41.155555554,968.2,488972.58328,262.72210674,296320,184274,231500,0,yircr12s,0.3238,1.4239,0.4633,y,ir,yircr,s,-1.127629238,-0.31996216,-1.072900667,0.353399586,0.583566369,0.346625631,-0.769380487,-0.129652635,-0.72248384
174,2002,10,10,15,28.65,-78.8,14.14722222,1010,459804.72025,87.99829778,203720,NaN,NaN,1,yircr12s,0.3238,1.4239,0.4633,y,ir,yircr,s,-1.127629238,-0.31996216,-1.072900667,0.353399586,0.583566369,0.346625631,-0.769380487,-0.129652635,-0.72248384
175,2002,10,1,9,21.375,-82.725,41.798611109999996,972.5,471181.6476,268.488542325,277800,179991.25,229185,0,yircr12s,0.3238,1.4239,0.4633,y,ir,yircr,s,-1.127629238,-0.31996216,-1.072900667,0.353399586,0.583566369,0.346625631,-0.769380487,-0.129652635,-0.72248384
180,2003,8,14,18,26.4,-83.3,18.00555556,1011,316859.9368,155.688525,NaN,NaN,NaN,1,yircr12s,0.4113,1.3983,0.5766,y,ir,yircr,s,-0.888432404,0.535774133,-1.066417302,0.335257213,0.388023399,0.33672014,-0.550606494,0.696581865,-0.725845739
183,2003,9,6,9,28.299999999999997,-82.4,14.14722222,1005,443921.0842,289.05285005,231500,NaN,NaN,1,yircr12s,0.4113,1.3983,0.5766,y,ir,yircr,s,-0.888432404,0.535774133,-1.066417302,0.335257213,0.388023399,0.33672014,-0.550606494,0.696581865,-0.725845739
194,2004,8,13.2,7.2,24.66,-82.34,50.415555556,965.6,302975.23482,274.34630376,185200,129177,133344,0,yircr12s,0.3063,1.3792,0.4242,y,ir,yircr,s,-1.183190265,-0.51873397,-1.026859029,0.321503621,0.23978379,0.32553181,-0.857550237,-0.462639608,-0.696195046
197,2004,9,4.384615384615385,8.76923076923077,26.753846153846155,-79.20769230769231,42.34273504230769,964.3846153846154,348409.06823846156,85.23163913615385,384646.1538461539,276197.3076923077,238623.07692307694,0,yircr12s,0.3063,1.3792,0.4242,y,ir,yircr,s,-1.183190265,-0.51873397,-1.026859029,0.321503621,0.23978379,0.32553181,-0.857550237,-0.462639608,-0.696195046
200,2004,9,20.857142857142858,9.428571428571429,25.957142857142856,-80.95714285714286,13.228571427142857,1009.2857142857143,223764.05347142857,179.2532332157143,NaN,NaN,NaN,1,yircr12s,0.3063,1.3792,0.4242,y,ir,yircr,s,-1.183190265,-0.51873397,-1.026859029,0.321503621,0.23978379,0.32553181,-0.857550237,-0.462639608,-0.696195046
201,2004,9,25.666666666666668,11,27.316666666666666,-79.83333333333333,45.871296295,958,337114.7638666667,95.30614685,379660,254650,219153.33333333334,3,yircr12s,0.3063,1.3792,0.4242,y,ir,yircr,s,-1.183190265,-0.51873397,-1.026859029,0.321503621,0.23978379,0.32553181,-0.857550237,-0.462639608,-0.696195046
207,2005,6,10,15,23.95,-84.9,27.00833333,997.5,459692.48245,269.9390305,324100,151246.66665,240760,1,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
210,2005,7,8.857142857142858,9.428571428571429,23.514285714285712,-82.4,51.81190476142857,954.7142857142857,345047.8381,264.9857510857143,449771.4285714286,244067.14285714287,280445.71428571426,0,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
212,2005,7,22,9,26.475,-76.45,21.86388889,1007.5,458070.356775,85.60484965500001,203720,56717.5,NaN,1,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
217,2005,8,25.6,9.6,25.16,-80.52,34.124814814,980.7333333333333,285753.89643,102.91432911333334,290764,131128.2142857143,136374.54545454544,1,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
221,2005,9,7.384615384615385,8.76923076923077,27.992307692307694,-79.04615384615384,21.962820512307694,998.3846153846154,389956.47875384614,146.4801467146154,269381.8181818182,100831.11111111111,87308.57142857143,1,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
223,2005,9,20.428571428571427,7.714285714285714,23.84285714285714,-81.4,44.095238095714286,972.1428571428571,281439.29268571426,256.15771827142856,410085.71428571426,173294.2857142857,182554.2857142857,0,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
226,2005,10,5,9,27.8,-79.95,19.29166667,1005,330639.6993,138.5811536,231500,243846.66665,NaN,1,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
228,2005,10,24,9,25.8,-81.8,52.0875,954,294008.661975,277.978498475,555600,344356.25,324100,3,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
238,2006,8,5.75,9,22.625,-79.6,9.64583333425,1012.5,305742.9396,299.67045352499997,231500,NaN,NaN,1,yircr12s,0.3063,1.4265,0.4369,y,ir,yircr,s,-1.183190265,-0.51873397,-1.125111649,0.355223892,0.60322918699999994,0.339903819,-0.828050943,-0.351230871,-0.781524514
240,2006,8,29.666666666666668,8,24.7,-79.87777777777778,19.434567904444446,1003.7777777777778,224045.47657777776,243.91564182555555,231500,96372.59258888889,81025,1,yircr12s,0.3063,1.4265,0.4369,y,ir,yircr,s,-1.183190265,-0.51873397,-1.125111649,0.355223892,0.60322918699999994,0.339903819,-0.828050943,-0.351230871,-0.781524514
245,2007,5,11.4,8.4,28.740000000000002,-79.38,13.375555554,1005.2,445334.18982,272.68968202,259280,NaN,NaN,1,yircr12s,0.3063,1.4115,0.4334,y,ir,yircr,s,-1.183190265,-0.51873397,-1.174914274,0.344652969,0.489293172,0.317241493,-0.83609419,-0.381607461,-0.854280519
246,2007,6,2,6,25.46666666666667,-84.33333333333333,23.15,998.3333333333334,406699.3456666667,292.3378649333334,314840,101860,148160,1,yircr12s,0.3063,1.4115,0.4334,y,ir,yircr,s,-1.183190265,-0.51873397,-1.174914274,0.344652969,0.489293172,0.317241493,-0.83609419,-0.381607461,-0.854280519
258,2007,10.625,12.375,9,23.575,-77.9875,25.72222222125,993,344610.883,69.223337977625,386605,213269.375,156097.14285714287,1,yircr12s,0.3063,1.4115,0.4334,y,ir,yircr,s,-1.183190265,-0.51873397,-1.174914274,0.344652969,0.489293172,0.317241493,-0.83609419,-0.381607461,-0.854280519
259,2007,12,16,6,26.3,-85.2,12.86111111,1006,485791.4309,310.0614794,NaN,NaN,NaN,1,yircr12s,0.3063,1.4115,0.4334,y,ir,yircr,s,-1.183190265,-0.51873397,-1.174914274,0.344652969,0.489293172,0.317241493,-0.83609419,-0.381607461,-0.854280519
265,2008,8,19.5,9,26.305555555555557,-80.92222222222222,25.865123455,995.2222222222222,337331.4331444444,220.61690999444443,362683.3333333333,152104.07407222223,120380,1,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
266,2008,8,30.6,9.6,22.68,-83.5,57.617777778,953.8,436108.82254,265.40162018,490780,243075,301876,0,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
267,2008,9,5,9,27.7,-77.9,28.29444444,982,420010.4012,96.29923667,555600,312525,125010,1,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
268,2008,9,9.25,9,22.5125,-82.5375,36.332638888750004,964.5,396295.567675,258.2071675375,428275,274327.5,309052.5,0,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
275,2008,11,11.222222222222221,9.666666666666666,22.06111111111111,-79.7611111111111,11.146296297222223,1008,438621.9734388889,196.32374686388889,277800,27780,37040,1,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
278,2009,8,16,6,27,-83.4,15.43333333,1011,363537.1902,199.3992152,NaN,NaN,NaN,1,yircr12s,0.3169,1.3678,0.4332,y,ir,yircr,s,-1.149169012,-0.39702157,-1.205992118,0.31320361,0.150324221,0.29580818,-0.836555764,-0.383350668,-0.907232393
286,2010,7,23.4,8.4,25.48,-81.12,16.976666666,1008.4,239052.69425200002,101.6469550594,268540,106490,83340,1,yircr12s,0.2697,1.3804,0.3729,y,ir,yircr,s,-1.310445049,-0.973993076,-1.140475103,0.322373312,0.249157538,0.285305515,-0.986444992,-0.949430986,-0.855883926
298,2010,9,29.25,9,23.4375,-80.5875,19.934722225,995.75,307582.7575,72.92246532625,680610,486150,555600,1,yircr12s,0.2697,1.3804,0.3729,y,ir,yircr,s,-1.310445049,-0.973993076,-1.140475103,0.322373312,0.249157538,0.285305515,-0.986444992,-0.949430986,-0.855883926
300,2010,10,14.666666666666666,11,22.85,-81.65,19.291666666666668,1005,305275.01075,67.132612615,166680,71765,101860,1,yircr12s,0.2697,1.3804,0.3729,y,ir,yircr,s,-1.310445049,-0.973993076,-1.140475103,0.322373312,0.249157538,0.285305515,-0.986444992,-0.949430986,-0.855883926
305,2011,7,17.571428571428573,10.285714285714286,27.814285714285713,-77.95714285714286,18.74047619142857,1005.8571428571429,422261.8766857143,256.4650746,196775,63662.5,43213.333333333336,1,yircr12s,0.3822,1.2465,0.4749,y,ir,yircr,s,-0.961811247,0.27325837,-1.088476024,0.220339624,-0.850586727,0.250179928,-0.744651023,-0.036257916,-0.835006502
308,2011,8,6,9,24.96666666666667,-77.76666666666667,14.147222221666667,1011.3333333333334,336049.72135,85.48836066666667,185200,97230,NaN,1,yircr12s,0.3822,1.2465,0.4749,y,ir,yircr,s,-0.961811247,0.27325837,-1.088476024,0.220339624,-0.850586727,0.250179928,-0.744651023,-0.036257916,-0.835006502
312,2011,8,25.25,9,25.925,-76.75,46.943055555,949,432602.990175,84.12247532,544025,327572.5,245390,3,yircr12s,0.3822,1.2465,0.4749,y,ir,yircr,s,-0.961811247,0.27325837,-1.088476024,0.220339624,-0.850586727,0.250179928,-0.744651023,-0.036257916,-0.835006502
331,2012,8,26.5,9,24.116666666666667,-81.76666666666667,27.00833333,991.3333333333334,268691.6541,258.41069075,463000,243846.66666666666,277800,1,yircr12s,0.3704,1.231,0.4612,y,ir,yircr,s,-0.993171776,0.161064816,-0.910939004,0.207826847,-0.985452522,0.213941728,-0.773923491,-0.146810007,-0.692921822
340,2012,10,26.2,7.2,26.28,-76.7,34.467777778,968.6,436343.2868,93.2382362,757468,478742,362992,0,yircr12s,0.3704,1.231,0.4612,y,ir,yircr,s,-0.993171776,0.161064816,-0.910939004,0.207826847,-0.985452522,0.213941728,-0.773923491,-0.146810007,-0.692921822
345,2013,8,1.6666666666666667,8,25.233333333333334,-78.44444444444444,13.146913578888888,1013.1111111111111,298305.4357,114.66159495155556,NaN,NaN,NaN,1,yircr12s,0.4594,1.2382,0.5711,y,ir,yircr,s,-0.777833989,0.93144441,-0.929407472,0.213658712,-0.922595243,0.248266728,-0.560190953,0.660384641,-0.675154414
357,2014,6.777777777777778,7.777777777777778,9.333333333333334,28,-78.9888888888889,19.4345679,1003.6666666666666,380658.8659222222,127.868950198,321013.3333333333,93526,88896,1,yircr12s,0.3616,1.3817,0.5009,y,ir,yircr,s,-1.01721665,0.075043311,NA,0.323314625,0.25930324,NA,-0.691348799,0.165046346,NA
366,2015,5,6,9,27.5,-78.85,12.86111111,1015.5,337982.30045,171.54331919999998,222240,NaN,NaN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,2015,11,9.5,9,25.7,-75.95,24.43611111,1007,483663.52555,79.53460364,148160,89513.333335,NaN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3704,1.4273,0.5318,y,ir,yircr,s,-0.993171776,0.161064816,-0.988620595,0.355784548,0.609272076,0.359671523,-0.6314878,0.391120851,-0.62306739
NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3967,1.3358,0.5337,y,ir,yircr,s,-0.924574951,0.406472715,-1.005367937,0.289530363,-0.104831868,0.281960571,-0.627921396,0.40458994,-0.717568294
NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.4533,1.2645,0.5763,y,ir,yircr,s,-0.791201121,0.883622957,-0.8896354,0.234676787,-0.696057245,0.266376985,-0.551126921,0.694616391,-0.615570544
NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.4415,1.2871,0.5746,y,ir,yircr,s,-0.817577259,0.789261263,-0.989786958,0.252391626,-0.505122345,0.257510647,-0.554081132,0.683459344,-0.722370898
NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3238,1.3242,0.4336,y,ir,yircr,s,-1.127629238,-0.31996216,-1.009479228,0.280808504,-0.198838225,0.278754435,-0.835632829,-0.379865059,-0.720851304
NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3385,1.354,0.4617,y,ir,yircr,s,-1.083231187,-0.161126347,-1.161751898,0.303063174,0.041028109,0.306900331,-0.772839949,-0.142717843,-0.847048996
NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.2796,1.4005,0.3935,y,ir,yircr,s,-1.274395269,-0.845023537,-1.167881622,0.336829316,0.40496791,0.315865918,-0.932674211,-0.746357149,-0.84589785
NA,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3179,1.3603,0.4351,y,ir,yircr,s,-1.146018411,-0.385750167,-1.170849001,0.307705264,0.091061691,0.32140797,-0.832179389,-0.366822599,-0.844025995
NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3355,1.3767,0.4643,y,ir,yircr,s,-1.092133323,-0.192974096,-1.125029712,0.319689331,0.220228927,0.31214074,-0.767224384,-0.121509774,-0.805509378
NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3208,1.3621,0.4417,y,ir,yircr,s,-1.136937403,-0.353262495,-1.101159442,0.309027626,0.105314444,0.311134543,-0.81712436,-0.309964907,-0.782997309
NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3415,1.3562,0.4655,y,ir,yircr,s,-1.0744076,-0.12955961,-1.107073495,0.304686671,0.058526558,0.304976461,-0.764643182,-0.111761458,-0.794389436
NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3296,1.3515,0.4487,y,ir,yircr,s,-1.109875481,-0.256447381,-1.107073495,0.301215087,0.021108963,0.308990083,-0.801400766,-0.250582272,-0.793786254
NA,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3208,1.3786,0.4425,y,ir,yircr,s,-1.136937403,-0.353262495,-1.082252334,0.321068491,0.235093858,0.318297071,-0.815314815,-0.303130872,-0.759325524
NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3679,1.3946,0.5162,y,ir,yircr,s,-0.999944117,0.136836495,-1.042991322,0.332607636,0.359465602,0.321512491,-0.661260992,0.278677695,-0.715791528
NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3708,1.3646,0.5113,y,ir,yircr,s,-0.992092445,0.164926166,-1.030950425,0.310861345,0.125078719,0.335063722,-0.670798777,0.242656745,-0.688329273
NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3326,1.4358,0.4805,y,ir,yircr,s,-1.100814712,-0.224032117,-1.061580821,0.361722185,0.673269398,0.347888071,-0.732928051,0.00801574,-0.706236901
NA,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3356,1.4493,0.4892,y,ir,yircr,s,-1.091835304,-0.191907924,-1.166341585,0.371080681,0.774137577,0.373051037,-0.714983875,0.07578475,-0.787651146
NA,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.2708,1.4716,0.4005,y,ir,yircr,s,-1.306374738,-0.959431375,-1.098641463,0.386350244,0.938716695,0.35648803,-0.915041512,-0.679764481,-0.737747503
NA,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.4075,1.3662,0.5581,y,ir,yircr,s,-0.897714346,0.50256761,-1.104654855,0.312033163,0.137708862,0.315471558,-0.583217121,0.573422686,-0.782608578
NA,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3296,1.2815,0.4276,y,ir,yircr,s,-1.109875481,-0.256447381,-1.117324928,0.248031267,-0.552119368,0.27488566,-0.8495671,-0.432490031,-0.834172517
NA,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.2607,1.3029,0.3431,y,ir,yircr,s,-1.344384958,-1.095414466,-1.161893826,0.264592549,-0.373617781,0.282197641,-1.069733329,-1.263982533,-0.869485196
NA,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3565,1.3965,0.502,y,ir,yircr,s,-1.031421039,0.02422654,-1.183838445,0.333969106,0.374139868,0.292972318,-0.689155159,0.173330971,-0.885043842
NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yircr12s,0.3086,1.3236,0.4081,y,ir,yircr,s,-1.175709339,-0.491970656,-0.956712134,0.280355297,-0.203722996,0.306803689,-0.896243037,-0.608769071,-0.649315834
